referencia,residencial,industrial,comercial
2004-01-01,3694.386,6977.471,2450.453
2004-02-01,3511.541,7084.623,2396.965
2004-03-01,3629.455,7087.613,2402.521
2004-04-01,3733.863,7384.54,2580.914
2004-05-01,3537.269,7258.307,2344.084
2004-06-01,3433.443,7501.655,2159.479
2004-07-01,3457.623,7580.439,2233.526
2004-08-01,3453.322,7710.196,2192.652
2004-09-01,3596.16,7747.917,2359.085
2004-10-01,3608.13,7762.817,2415.036
2004-11-01,3608.515,7869.102,2418.875
2004-12-01,3569.438,7777.337,2503.405
2005-01-01,3873.894,7298.293,2564.318
2005-02-01,3616.967,7377.942,2471.439
2005-03-01,3711.051,7406.089,2584.265
2005-04-01,3923.735,7745.456,2701.315
2005-05-01,3655.561,7505.361,2502.344
2005-06-01,3710.837,7506.188,2463.656
2005-07-01,3626.333,7608.435,2354.907
2005-08-01,3635.143,7923.121,2334.137
2005-09-01,3819.948,8006.237,2511.682
2005-10-01,3773.673,7770.445,2520.176
2005-11-01,3774.518,7721.847,2581.206
2005-12-01,3869.508,7747.98,2634.338
2006-01-01,3895.002,7352.617,2638.036
2006-02-01,3891.195,7567.739,2793.261
2006-03-01,4121.517,7503.661,2815.357
2006-04-01,3957.604,7745.038,2772.579
2006-05-01,3811.708,7592.674,2534.543
2006-06-01,3828.066,7722.371,2454.777
2006-07-01,3768.572,7736.313,2392.106
2006-08-01,3774.74,8024.273,2497.544
2006-09-01,3888.55,7876.455,2575.627
2006-10-01,3901.043,7889.94,2609.245
2006-11-01,3997.65,8027.414,2703.651
2006-12-01,4016.723,7857.892,2842.322
2007-01-01,4183.534,7828.726,2789.73
2007-02-01,4000.465,7966.169,2786.112
2007-03-01,4219.24,8156.928,2939.192
2007-04-01,4223.592,8415.087,3043.236
2007-05-01,4104.316,8352.175,2764.729
2007-06-01,3887.323,8376.953,2581.799
2007-07-01,3813.598,8223.929,2522.24
2007-08-01,3979.163,8409.27,2513.753
2007-09-01,4058.552,8606.355,2738.95
2007-10-01,4053.969,8466.749,2748.375
2007-11-01,4229.638,8655.071,2904.284
2007-12-01,4116.989,8518.635,2916.529
2008-01-01,4412.691,7733.4,2955.693
2008-02-01,4340.742,7795.758,2937.432
2008-03-01,4179.036,8217.728,2924.592
2008-04-01,4225.451,8124.682,2918.22
2008-05-01,4386.332,8244.852,2896.774
2008-06-01,4153.532,8273.796,2695.492
2008-07-01,4186.405,8470.316,2685.032
2008-08-01,4292.183,8715.979,2791.889
2008-09-01,4208.021,8557.011,2844.662
2008-10-01,4413.75,8623.648,2955.147
2008-11-01,4456.627,8358.73,3108.391
2008-12-01,4222.422,7399.288,2971.975
2009-01-01,4648.272,6430.384,2989.284
2009-02-01,4425.16,6748.877,3049.301
2009-03-01,4666.872,6940.31,3230.457
2009-04-01,4574.496,7200.761,3167.307
2009-05-01,4466.39,7042.743,2929.088
2009-06-01,4263.405,7179.707,2782.927
2009-07-01,4390.194,7391.798,2758.765
2009-08-01,4521.489,7724.095,2816.727
2009-09-01,4516.47,7902.183,2949.799
2009-10-01,4587.326,8013.929,3066.268
2009-11-01,4586.57,8103.644,3227.613
2009-12-01,4768.804,7855.316,3413.601
2010-01-01,4934.723,7348.949,3260.027
2010-02-01,4805.332,7871.394,3293.548
2010-03-01,4841.148,8094.4,3408.517
2010-04-01,4871.63,8406.675,3346.021
2010-05-01,4594.567,8324.792,3122.012
2010-06-01,4520.711,8546.983,2950.238
2010-07-01,4385.968,8520.574,2820.5
2010-08-01,4674.267,8694.721,3001.909
2010-09-01,4715.169,8725.859,3116.562
2010-10-01,4722.642,8657.739,3132.785
2010-11-01,4672.324,8702.507,3179.251
2010-12-01,4941.867,8611.134,3524.145
2011-01-01,5255.305,8236.13,3487.149
2011-02-01,5083.728,8295.036,3573.759
2011-03-01,5128.653,8345.401,3553.53
2011-04-01,4937.01,8606.025,3512.605
2011-05-01,4856.402,8421.831,3310.453
2011-06-01,4678.006,8614.877,3113.468
2011-07-01,4784.552,8522.025,3078.427
2011-08-01,4840.012,8763.759,3194.445
2011-09-01,5036.38,8795.554,3355.404
2011-10-01,4905.359,8608.766,3359.32
2011-11-01,4885.526,8698.497,3402.946
2011-12-01,4957.747,8472.685,3524.609
2012-01-01,5138.107,8004.138,3512.097
2012-02-01,5111.298,8292.046,3587.243
2012-03-01,5470.926,8440.739,3863.736
2012-04-01,5308.429,8642.446,3812.378
2012-05-01,4954.256,8371.133,3479.759
2012-06-01,5033.564,8448.415,3433.501
2012-07-01,4828.556,8322.721,3262.13
2012-08-01,4979.107,8540.168,3403.874
2012-09-01,5108.683,8614.67,3562.736
2012-10-01,5068.966,8569.742,3608.276
2012-11-01,5369.591,8573.104,3916.528
2012-12-01,5223.04,7967.83,3869.697
2013-01-01,5757.901,7819.121,3997.152
2013-02-01,5425.917,8154.579,3839.762
2013-03-01,5373.723,8164.832,3901.778
2013-04-01,5329.736,8463.316,3844.698
2013-05-01,5269.471,8454.482,3701.361
2013-06-01,5185.998,8359.244,3589.719
2013-07-01,5063.741,8292.903,3474.863
2013-08-01,5200.951,8561.514,3513.265
2013-09-01,5196.437,8498.742,3688.878
2013-10-01,5313.978,8542.498,3855.692
2013-11-01,5420.982,8669.644,4049.906
2013-12-01,5407.419,8256.004,4171.501
2014-01-01,5991.046,7830.818,4297.545
2014-02-01,6082.595,8268.487,4571.717
2014-03-01,5783.428,8000.471,4297.438
2014-04-01,5477.028,8229.108,4172.93
2014-05-01,5455.67,8002.092,4004.548
2014-06-01,5106.123,7922.678,3705.71
2014-07-01,5294.663,7587.191,3668.148
2014-08-01,5191.948,7958.162,3724.566
2014-09-01,5194.803,7828.535,3836.984
2014-10-01,5560.649,7822.355,4140.729
2014-11-01,5714.131,8197.214,4335.58
2014-12-01,5508.771,7797.703,4224.267
2015-01-01,6476.567,7344.251,4476.63
2015-02-01,5957.795,7831.952,4446.794
2015-03-01,5573.471,7736.995,4320.106
2015-04-01,5415.655,7917.888,4326.175
2015-05-01,5176.493,7666.695,3979.116
2015-06-01,4852.845,7623.856,3802.3
2015-07-01,4913.722,7453.325,3661.598
2015-08-01,5080.894,7615.559,3772.081
2015-09-01,5030.736,7514.243,3780.478
2015-10-01,5465.728,7532.546,4136.559
2015-11-01,5457.842,7404.271,4262.362
2015-12-01,5383.171,7100.174,4258.472
2016-01-01,5864.497,6678.7,4227.956
2016-02-01,5615.379,7198.404,4167.271
2016-03-01,5532.807,7306.778,4155.268
2016-04-01,5907.371,7507.463,4398.022
2016-05-01,5330.941,7338.229,3960.712
2016-06-01,5076.992,7395.683,3611.034
2016-07-01,4937.481,7423.662,3507.2
2016-08-01,4997.655,7569.355,3524.375
2016-09-01,5299.383,7540.403,3706.102
2016-10-01,5282.756,7456.992,3698.574
2016-11-01,5407.188,7434.144,3902.049
2016-12-01,5543.528,7170.266,4015.309
2017-01-01,5934.32,6924.323,4219.888
2017-02-01,5629.521,7267.815,4152.985
2017-03-01,6041.993,7183.812,4276.384
2017-04-01,5431.606,7630.039,4124.395
2017-05-01,5290.835,7100.244,3885.942
2017-06-01,5139.605,7426.304,3677.308
2017-07-01,5061.387,7396.436,3490.184
2017-08-01,4974.452,7451.707,3443.507
2017-09-01,5307.233,7616.037,3723.379
2017-10-01,5361.592,7481.015,3852.91
2017-11-01,5537.482,7737.43,3978.215
2017-12-01,5544.8,7612.805,4051.793
2018-01-01,5863.375,7505.76,4079.859
2018-02-01,5718.347,7364.373,4054.596
2018-03-01,5957.652,7995.341,4218.606
2018-04-01,5957.746,7812.472,4242.008
2018-05-01,5536.524,7496.035,3926.69
2018-06-01,5320.618,7476.361,3645.483
2018-07-01,5186.863,7789.892,3569.522
2018-08-01,5116.358,7914.508,3574.642
2018-09-01,5360.842,7702.179,3707.136
2018-10-01,5482.086,7933.623,3895.859
2018-11-01,5585.817,7871.138,3980.073
2018-12-01,5687.379,7420.487,4140.015
2019-01-01,6389.714,7545.071,4370.412
2019-02-01,6188.834,7285.407,4365.504
2019-03-01,6072.327,7556.147,4303.463
2019-04-01,5610.278,7494.816,4115.92
2019-05-01,5785.412,7597.072,4141.319
2019-06-01,5269.701,7384.031,3726.296
2019-07-01,5152.318,7434.149,3547.092
2019-08-01,5201.82,7485.988,3575.392
2019-09-01,5376.428,7411.807,3768.173
2019-10-01,5668.331,7616.449,4084.436
2019-11-01,5967.916,7523.365,4293.625
