estado;cidade;populacao;PIB;PIB_percapita
ACRE;Xapuri;15079;150262.34375;9965.00976562
ACRE;Marechal Thaumaturgo;14275;109181.8671875;7648.47021484
ACRE;Santa Rosa do Purus;4358;28091.17382812;6445.89013672
ACRE;Jordão;6520;41673.13671875;6391.58984375
ACRE;Porto Walter;8855;64432.35546875;7276.37988281
ACRE;Sena Madureira;36166;371556.0625;10273.62988281
ACRE;Senador Guiomard;19697;217153.859375;11024.71972656
ACRE;Rio Branco;305954;3837370.75;12542.30957031
ACRE;Bujari;6772;88708.03125;13099.24023438
ACRE;Rodrigues Alves;13460;153169.609375;11379.61035156
ACRE;Assis Brasil;5662;48347.30078125;8538.91015625
ACRE;Capixaba;9287;89052.6796875;9588.95996094
ACRE;Brasiléia;20238;194979.828125;9634.33984375
ACRE;Mâncio Lima;14774;103294.7421875;6991.66015625
ACRE;Feijó;32261;239317.046875;7418.14990234
ACRE;Porto Acre;14682;160340.78125;10920.91015625
ACRE;Tarauacá;33883;258505.0625;7629.33984375
ACRE;Manoel Urbano;7505;61478.73046875;8191.70019531
ACRE;Epitaciolândia;14224;129641.09375;9114.25
ACRE;Plácido de Castro;18235;204410.5625;11209.79003906
ACRE;Acrelândia;12241;151120.015625;12345.40039062
ACRE;Cruzeiro do Sul;77004;684349.25;8887.19042969
ALAGOAS;Maragogi;26978;115097.2109375;4266.33984375
ALAGOAS;Japaratinga;7763;30499.59179688;3928.84008789
ALAGOAS;Viçosa;26830;95608.140625;3563.47998047
ALAGOAS;Piaçabuçu;18087;66745.765625;3690.26000977
ALAGOAS;Maravilha;10110;33863.60546875;3349.52001953
ALAGOAS;Palestina;5071;15465.23339844;3049.73999023
ALAGOAS;Barra de Santo Antônio;14435;53292.31640625;3691.87988281
ALAGOAS;Mar Vermelho;4131;15055.91699219;3644.62011719
ALAGOAS;Anadia;17740;72170.7265625;4068.25
ALAGOAS;Jaramataia;6140;23547.14648438;3835.04003906
ALAGOAS;Feira Grande;21824;67006.5546875;3070.32006836
ALAGOAS;Capela;17366;73067.953125;4207.52978516
ALAGOAS;Batalha;16919;66246.3359375;3915.5
ALAGOAS;Boca da Mata;26030;152409.21875;5855.14013672
ALAGOAS;Jequiá da Praia;11615;108508.890625;9342.12988281
ALAGOAS;Palmeira dos Índios;72564;358377.4375;4938.77978516
ALAGOAS;São Miguel dos Milagres;7601;29789.48828125;3919.14990234
ALAGOAS;Ibateguara;15863;56599.32421875;3568.01000977
ALAGOAS;Satuba;14779;56080.00390625;3794.57006836
ALAGOAS;União dos Palmares;62727;400757.65625;6388.91992188
ALAGOAS;Campestre;6178;25780.65820312;4172.97998047
ALAGOAS;Campo Alegre;47209;182361.03125;3862.84008789
ALAGOAS;Poço das Trincheiras;12463;36296.9296875;2912.37011719
ALAGOAS;Chã Preta;7073;26925.03125;3806.72998047
ALAGOAS;Santana do Mundaú;12039;52134.53515625;4330.47021484
ALAGOAS;Mata Grande;25309;70679.9765625;2792.67993164
ALAGOAS;Porto de Pedras;10649;37205.45703125;3493.80004883
ALAGOAS;Santa Luzia do Norte;7572;53447.09765625;7058.52001953
ALAGOAS;Traipu;25854;68499.6875;2649.47998047
ALAGOAS;São Brás;7062;27549.03125;3901.02001953
ALAGOAS;Coité do Nóia;11127;31372.484375;2819.48999023
ALAGOAS;Estrela de Alagoas;17251;48915.7578125;2835.5300293
ALAGOAS;Messias;15899;62115.51171875;3906.87988281
ALAGOAS;Junqueiro;25290;98153.7734375;3881.12988281
ALAGOAS;Ouro Branco;11504;32711.80273438;2843.52001953
ALAGOAS;Delmiro Gouveia;48462;276627.6875;5708.14013672
ALAGOAS;Minador do Negrão;5292;22713.8515625;4292.10986328
ALAGOAS;Girau do Ponciano;36904;111610.8828125;3024.36010742
ALAGOAS;Craíbas;23294;73514.7890625;3155.94995117
ALAGOAS;Água Branca;19989;59232.4921875;2963.25
ALAGOAS;Monteirópolis;7292;22985.1328125;3152.10009766
ALAGOAS;Belo Monte;7510;30603.25585938;4075.0
ALAGOAS;Olivença;10865;33409.52734375;3074.9699707
ALAGOAS;Coqueiro Seco;5525;19754.61328125;3575.5
ALAGOAS;Pão de Açúcar;24534;85304.7265625;3477.0
ALAGOAS;São Miguel dos Campos;54064;524210.28125;9696.11035156
ALAGOAS;Barra de São Miguel;7572;47460.00390625;6267.83007812
ALAGOAS;Igreja Nova;23807;129697.7734375;5447.87988281
ALAGOAS;São Sebastião;32181;123021.7890625;3822.81005859
ALAGOAS;Jundiá;4698;21836.53515625;4648.04980469
ALAGOAS;Maribondo;14144;55018.47265625;3889.87988281
ALAGOAS;Santana do Ipanema;43699;193882.71875;4436.77978516
ALAGOAS;Olho D'Água do Casado;8517;27759.3671875;3259.29003906
ALAGOAS;Feliz Deserto;4568;34067.5078125;7457.85986328
ALAGOAS;Murici;26918;109038.859375;4050.7800293
ALAGOAS;Porto Real do Colégio;18453;59886.03515625;3245.33007812
ALAGOAS;Marechal Deodoro;47623;620477.5;13028.95019531
ALAGOAS;Lagoa da Canoa;18196;60461.83984375;3322.81005859
ALAGOAS;Cajueiro;20825;77771.0703125;3734.51000977
ALAGOAS;Arapiraca;210521;1658976.875;7880.33984375
ALAGOAS;Branquinha;12215;42036.96875;3441.41992188
ALAGOAS;Olho D'Água Grande;4963;16447.203125;3313.95996094
ALAGOAS;Jacaré dos Homens;5902;30879.77734375;5232.08984375
ALAGOAS;Teotônio Vilela;41935;186967.0625;4458.5
ALAGOAS;Paulo Jacinto;7772;24402.88085938;3139.85009766
ALAGOAS;Piranhas;25107;73379.25;2922.65991211
ALAGOAS;São José da Laje;23112;147755.59375;6393.02001953
ALAGOAS;Pindoba;3246;14839.16210938;4571.52001953
ALAGOAS;Pariconha;10539;32510.77148438;3084.81005859
ALAGOAS;Canapi;18397;53345.25390625;2899.66992188
ALAGOAS;Tanque D'Arca;5766;18489.390625;3206.62011719
ALAGOAS;São Luís do Quitunde;32871;179677.546875;5466.14013672
ALAGOAS;Flexeiras;12290;45588.03125;3709.36010742
ALAGOAS;Rio Largo;67797;364321.25;5373.70996094
ALAGOAS;Penedo;61082;313189.03125;5127.35009766
ALAGOAS;Olho D'Água das Flores;20555;70390.265625;3424.47998047
ALAGOAS;Novo Lino;12449;47015.875;3776.67993164
ALAGOAS;Passo de Camaragibe;14261;59784.6875;4192.18017578
ALAGOAS;Limoeiro de Anadia;26415;74192.875;2808.73999023
ALAGOAS;Taquarana;18848;67490.1875;3580.76000977
ALAGOAS;Coruripe;53369;463296.53125;8681.0
ALAGOAS;Porto Calvo;26044;131020.25;5030.72998047
ALAGOAS;Paripueira;10222;44169.84765625;4321.06005859
ALAGOAS;Inhapi;18166;49013.73046875;2698.10009766
ALAGOAS;Joaquim Gomes;22436;67053.9296875;2988.67993164
ALAGOAS;Quebrangulo;11566;43188.9765625;3734.12988281
ALAGOAS;Jacuípe;7045;29361.71679688;4167.74023438
ALAGOAS;Senador Rui Palmeira;13110;35231.92578125;2687.40991211
ALAGOAS;Colônia Leopoldina;20181;106579.515625;5281.18017578
ALAGOAS;Pilar;32655;174139.0625;5332.68994141
ALAGOAS;Igaci;25865;81381.578125;3146.39990234
ALAGOAS;Belém;5083;19550.015625;3846.15991211
ALAGOAS;Atalaia;53023;208935.734375;3940.4699707
ALAGOAS;Matriz de Camaragibe;25493;102110.5078125;4005.42993164
ALAGOAS;Carneiros;8463;24778.15429688;2927.82006836
ALAGOAS;Major Isidoro;19530;73942.796875;3786.11010742
ALAGOAS;Dois Riachos;11200;35078.25390625;3131.98999023
ALAGOAS;Roteiro;6864;38793.6640625;5651.75976562
ALAGOAS;São José da Tapera;31361;85124.4453125;2714.34008789
ALAGOAS;Campo Grande;9909;32337.46289062;3263.43994141
ALAGOAS;Cacimbinhas;10182;39280.7421875;3857.86010742
ALAGOAS;Maceió;936314;10264218.0;10962.37011719
AMAZONAS;Manacapuru;86472;397942.40625;4601.97998047
AMAZONAS;Silves;8543;66035.21875;7729.75
AMAZONAS;Tapauá;19884;87235.609375;4387.22998047
AMAZONAS;Boca do Acre;31221;149755.40625;4796.62011719
AMAZONAS;Fonte Boa;18803;115856.546875;6161.60009766
AMAZONAS;Tefé;64671;293563.5;4539.33984375
AMAZONAS;Japurá;4238;25534.7109375;6025.18017578
AMAZONAS;São Paulo de Olivença;32958;109349.2890625;3317.84008789
AMAZONAS;Nova Olinda do Norte;31012;108783.34375;3507.7800293
AMAZONAS;Uarini;10108;60242.65625;5959.89990234
AMAZONAS;Canutama;11948;49871.54296875;4174.04980469
AMAZONAS;Caapiranga;11170;45974.66015625;4115.91015625
AMAZONAS;Manaus;1738641;40486108.0;23286.06054688
AMAZONAS;Eirunepé;30901;123005.4375;3980.62988281
AMAZONAS;Manaquiri;20836;82990.75;3983.05004883
AMAZONAS;Itapiranga;9733;37870.4453125;3890.92993164
AMAZONAS;Maraã;18135;109074.7265625;6014.60009766
AMAZONAS;Tonantins;20286;67153.0078125;3310.31005859
AMAZONAS;Rio Preto da Eva;26847;216235.546875;8054.37011719
AMAZONAS;Amaturá;8828;34505.6796875;3908.65991211
AMAZONAS;Pauini;19111;69596.59375;3641.69995117
AMAZONAS;Novo Airão;15915;61709.34765625;3877.42993164
AMAZONAS;Presidente Figueiredo;26282;304599.375;11589.66015625
AMAZONAS;Anamã;8673;41735.99609375;4812.18017578
AMAZONAS;Nhamundá;18474;86443.9765625;4679.22021484
AMAZONAS;Urucurituba;18541;67527.9609375;3642.09008789
AMAZONAS;Jutaí;16791;68712.0;4092.18994141
AMAZONAS;Santa Isabel do Rio Negro;18506;56945.6171875;3077.13989258
AMAZONAS;Boa Vista do Ramos;13994;53763.04296875;3841.86010742
