date,country,state,population,confirmed,confirmed_1d,confirmed_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,confirmed_trend,deaths,deaths_1d,deaths_moving_avg_7d,deaths_moving_avg_7d_rate_14d,deaths_trend,month,year
2021-01-01,Brazil,Acre,881935,41689,,,,,796,,,,,2021-01,2021
2021-01-02,Brazil,Acre,881935,41941,252,,,,798,2,,,,2021-01,2021
2021-01-03,Brazil,Acre,881935,42046,105,,,,802,4,,,,2021-01,2021
2021-01-04,Brazil,Acre,881935,42117,71,,,,806,4,,,,2021-01,2021
2021-01-05,Brazil,Acre,881935,42170,53,,,,808,2,,,,2021-01,2021
2021-01-06,Brazil,Acre,881935,42378,208,,,,814,6,,,,2021-01,2021
2021-01-07,Brazil,Acre,881935,42478,100,,,,821,7,,,,2021-01,2021
2021-01-08,Brazil,Acre,881935,42814,336,161,,,823,2,4,,,2021-01,2021
2021-01-09,Brazil,Acre,881935,42908,94,139,,,823,0,4,,,2021-01,2021
2021-01-10,Brazil,Acre,881935,43127,219,155,,,825,2,4,,,2021-01,2021
2021-01-01,Brazil,Alagoas,3337357,105091,,,,,2496,,,,,2021-01,2021
2021-01-02,Brazil,Alagoas,3337357,105361,270,,,,2502,6,,,,2021-01,2021
2021-01-03,Brazil,Alagoas,3337357,105714,353,,,,2509,7,,,,2021-01,2021
2021-01-04,Brazil,Alagoas,3337357,106032,318,,,,2515,6,,,,2021-01,2021
2021-01-05,Brazil,Alagoas,3337357,106410,378,,,,2521,6,,,,2021-01,2021
2021-01-06,Brazil,Alagoas,3337357,106881,471,,,,2529,8,,,,2021-01,2021
2021-01-07,Brazil,Alagoas,3337357,107279,398,,,,2537,8,,,,2021-01,2021
2021-01-08,Brazil,Alagoas,3337357,107628,349,363,,,2545,8,7,,,2021-01,2021
2021-01-09,Brazil,Alagoas,3337357,108109,481,393,,,2553,8,8,,,2021-01,2021
2021-01-10,Brazil,Alagoas,3337357,108542,433,404,,,2561,8,8,,,2021-01,2021
2021-01-01,Brazil,Amapá,845731,68361,,,,,926,,,,,2021-01,2021
2021-01-02,Brazil,Amapá,845731,68441,80,,,,927,1,,,,2021-01,2021
2021-01-03,Brazil,Amapá,845731,68568,127,,,,927,0,,,,2021-01,2021
2021-01-04,Brazil,Amapá,845731,68775,207,,,,936,9,,,,2021-01,2021
2021-01-05,Brazil,Amapá,845731,69096,321,,,,943,7,,,,2021-01,2021
2021-01-06,Brazil,Amapá,845731,69469,373,,,,950,7,,,,2021-01,2021
2021-01-07,Brazil,Amapá,845731,69874,405,,,,956,6,,,,2021-01,2021
2021-01-08,Brazil,Amapá,845731,70344,470,284,,,962,6,6,,,2021-01,2021
2021-01-09,Brazil,Amapá,845731,70676,332,320,,,969,7,6,,,2021-01,2021
2021-01-10,Brazil,Amapá,845731,70902,226,334,,,969,0,6,,,2021-01,2021
2021-01-01,Brazil,Amazonas,4144597,201574,,,,,5295,,,,,2021-01,2021
2021-01-02,Brazil,Amazonas,4144597,201867,293,,,,5325,30,,,,2021-01,2021
2021-01-03,Brazil,Amazonas,4144597,202413,546,,,,5345,20,,,,2021-01,2021
2021-01-04,Brazil,Amazonas,4144597,202972,559,,,,5368,23,,,,2021-01,2021
2021-01-05,Brazil,Amazonas,4144597,204900,1928,,,,5414,46,,,,2021-01,2021
2021-01-06,Brazil,Amazonas,4144597,207092,2192,,,,5500,86,,,,2021-01,2021
2021-01-07,Brazil,Amazonas,4144597,208798,1706,,,,5546,46,,,,2021-01,2021
2021-01-08,Brazil,Amazonas,4191085,211140,2342,1367,,,5615,69,46,,,2021-01,2021
2021-01-09,Brazil,Amazonas,4144597,212996,1856,1590,,,5669,54,50,,,2021-01,2021
2021-01-10,Brazil,Amazonas,4144597,213961,965,1650,,,5701,32,51,,,2021-01,2021
2021-01-01,Brazil,Bahia,14873064,494684,,,,,9159,,,,,2021-01,2021
2021-01-02,Brazil,Bahia,14873064,495286,602,,,,9187,28,,,,2021-01,2021
2021-01-03,Brazil,Bahia,14873064,496008,722,,,,9218,31,,,,2021-01,2021
2021-01-04,Brazil,Bahia,14873064,496823,815,,,,9246,28,,,,2021-01,2021
2021-01-05,Brazil,Bahia,14873064,499900,3077,,,,9276,30,,,,2021-01,2021
2021-01-06,Brazil,Bahia,14873064,502938,3038,,,,9304,28,,,,2021-01,2021
2021-01-07,Brazil,Bahia,14873064,505918,2980,,,,9333,29,,,,2021-01,2021
2021-01-08,Brazil,Bahia,14873064,508695,2777,2002,,,9364,31,30,,,2021-01,2021
2021-01-09,Brazil,Bahia,14873064,511192,2497,2273,,,9392,28,30,,,2021-01,2021
2021-01-10,Brazil,Bahia,14873064,512841,1649,2405,,,9424,32,30,,,2021-01,2021
2021-01-01,Brazil,Ceará,9145994,336504,,,,,10004,,,,,2021-01,2021
2021-01-02,Brazil,Ceará,9132078,336574,70,,,,10015,11,,,,2021-01,2021
2021-01-03,Brazil,Ceará,9132078,336763,189,,,,10024,9,,,,2021-01,2021
2021-01-04,Brazil,Ceará,9132078,336975,212,,,,10025,1,,,,2021-01,2021
2021-01-05,Brazil,Ceará,9161450,339043,2068,,,,10053,28,,,,2021-01,2021
2021-01-06,Brazil,Ceará,9138066,340312,1269,,,,10062,9,,,,2021-01,2021
2021-01-07,Brazil,Ceará,9156830,342201,1889,,,,10106,44,,,,2021-01,2021
2021-01-08,Brazil,Ceará,9157269,343887,1686,1055,,,10137,31,19,,,2021-01,2021
2021-01-09,Brazil,Ceará,9153057,344677,790,1158,,,10150,13,20,,,2021-01,2021
2021-01-10,Brazil,Ceará,9137084,345002,325,1177,,,10159,9,20,,,2021-01,2021
2021-01-01,Brazil,Distrito Federal,3015268,252077,,,,,4263,,,,,2021-01,2021
2021-01-02,Brazil,Distrito Federal,3015268,252874,797,,,,4268,5,,,,2021-01,2021
2021-01-03,Brazil,Distrito Federal,3015268,253355,481,,,,4269,1,,,,2021-01,2021
2021-01-04,Brazil,Distrito Federal,3015268,254310,955,,,,4289,20,,,,2021-01,2021
2021-01-05,Brazil,Distrito Federal,3026647,255875,1565,,,,4328,39,,,,2021-01,2021
2021-01-06,Brazil,Distrito Federal,3015268,255875,0,,,,4328,0,,,,2021-01,2021
2021-01-07,Brazil,Distrito Federal,3015268,256682,807,,,,4337,9,,,,2021-01,2021
2021-01-08,Brazil,Distrito Federal,3015268,257355,673,754,,,4345,8,12,,,2021-01,2021
2021-01-09,Brazil,Distrito Federal,3015268,258153,798,755,,,4351,6,12,,,2021-01,2021
2021-01-10,Brazil,Distrito Federal,3015268,258811,658,780,,,4356,5,13,,,2021-01,2021
2021-01-01,Brazil,Espírito Santo,4018827,249271,,,,,5093,,,,,2021-01,2021
2021-01-02,Brazil,Espírito Santo,4018923,250244,973,,,,5115,22,,,,2021-01,2021
2021-01-03,Brazil,Espírito Santo,4018746,251649,1405,,,,5124,9,,,,2021-01,2021
2021-01-04,Brazil,Espírito Santo,4018650,253115,1466,,,,5176,52,,,,2021-01,2021
2021-01-05,Brazil,Espírito Santo,4020443,255611,2496,,,,5202,26,,,,2021-01,2021
2021-01-06,Brazil,Espírito Santo,4040447,257295,1684,,,,5231,29,,,,2021-01,2021
2021-01-07,Brazil,Espírito Santo,4020855,258941,1646,,,,5265,34,,,,2021-01,2021
2021-01-08,Brazil,Espírito Santo,4020715,260970,2029,1672,,,5287,22,28,,,2021-01,2021
2021-01-09,Brazil,Espírito Santo,4019325,262157,1187,1702,,,5307,20,28,,,2021-01,2021
2021-01-10,Brazil,Espírito Santo,4018970,263504,1347,1694,,,5321,14,29,,,2021-01,2021
2021-01-01,Brazil,Goiás,7020148,309191,,,,,6805,,,,,2021-01,2021
2021-01-02,Brazil,Goiás,7021214,309320,129,,,,6805,0,,,,2021-01,2021
2021-01-03,Brazil,Goiás,7020918,309454,134,,,,6805,0,,,,2021-01,2021
2021-01-04,Brazil,Goiás,7043056,311067,1613,,,,6857,52,,,,2021-01,2021
2021-01-05,Brazil,Goiás,7031127,312124,1057,,,,6898,41,,,,2021-01,2021
2021-01-06,Brazil,Goiás,7025430,313755,1631,,,,6901,3,,,,2021-01,2021
2021-01-07,Brazil,Goiás,7042837,315563,1808,,,,6933,32,,,,2021-01,2021
2021-01-08,Brazil,Goiás,7032892,316852,1289,1095,,,6946,13,21,,,2021-01,2021
2021-01-09,Brazil,Goiás,7021498,317166,314,1121,,,6964,18,23,,,2021-01,2021
2021-01-10,Brazil,Goiás,7021782,317477,311,1147,,,6965,1,23,,,2021-01,2021
2021-01-01,Brazil,Maranhao,7075181,200959,,,,,4506,,,,,2021-01,2021
